genus,base of range (Ma),top of range (Ma),collections,with abundances,geometric mean abundance
Leptotheridium,41.3,33.9,23,16,0.0696
Leptothiridium,48.6,37.2,1,0,NaN
Leptothyrellopsis,66,61.6,1,0,NaN
Leptotomus,50.3,33.9,62,23,0.088
Leptotorymites,55.8,48.6,1,1,0.0054
Leptotragulus,46.2,33.9,15,0,NaN
Leptura,47.8,33.9,5,5,0.002
Lepus,26.3,24.8,1,1,0.5
Lepyrus,50.3,46.2,1,1,0.0227
Leria,28.4,23.03,1,0,NaN
Lerouxia,33.9,23.03,1,1,0.1818
Lessinigalathea,56,33.9,2,0,NaN
Lessnessina,56,47.8,1,1,0.1212
Lestes,59.2,23.03,22,20,0.047
Lestomyia,37.2,33.9,1,0,NaN
Lestophis,50.3,33.9,2,1,0.1225
Lestremia,56,41.3,3,3,0.0034
Lethe,33.9,28.1,2,2,1
Lethenia,33.9,28.4,1,0,NaN
Lethocerus,33.9,28.1,1,1,1
Leucempria,28.4,23.03,1,1,0.0009
Leucodiscus,61.6,59.2,1,0,NaN
Leucopogon,56,38,4,0,NaN
Leucorhynchia,66,33.9,6,1,0.002
Leucosyrinx,61.6,59.2,2,0,NaN
Leucotaphus,34,34,7,7,0.0328
Leucotina,55.8,53,1,0,NaN
Leucozona,37.2,33.9,1,1,0.013
Leucozonia,41.3,38,1,0,NaN
Leuctra,47.8,23.03,6,6,0.0056
Levicyclus,56,33.9,1,0,NaN
Levifusus,66,28.1,214,135,0.0061
Lewisothrips,47.8,41.3,1,1,0.0014
Leyrida,56,47.8,2,0,NaN
Liaoaphis,55.8,48.6,1,1,0.0054
Liaoeurytomites,55.8,48.6,1,1,0.0054
Liaoformica,55.8,48.6,1,1,0.0119
Liaoichneumon,55.8,48.6,1,1,0.0054
Liaotendipes,55.8,48.6,1,1,0.0119
Libellula,28.4,23.03,5,5,0.0726
Libellulapis,34,34,2,1,0.5
Libitina,47.8,38,3,0,NaN
Libocedrites,48.6,23.03,15,0,NaN
Libocedrus,59.2,56,2,0,NaN
Libycerithium,66,61.6,1,0,NaN
Lichanura,50.3,46.2,1,0,NaN
Lichenopora,66,28.1,10,0,NaN
Lichnanthe,37.2,33.9,1,1,0.0037
Lignicarpus,48.6,37.2,1,1,0.0008
Ligniglobus,48.6,37.2,1,1,0.0014
Lignitella,33.9,23.03,1,0,NaN
Ligustrum,56,33.9,2,0,NaN
Ligyrocoris,37.2,33.9,1,1,0.0004
Ligyrus,37.2,33.9,3,3,0.0017
Liliacidites,48.6,37.2,47,39,0.0076
Lilloiconcha,48,42,1,0,NaN
Lima,66,23.03,55,9,0.0009
Limacina,55.8,28.1,16,9,0.0022
Limaconyssus,61.7,55.8,3,1,0.0156
Limalophus,50.3,46.2,3,3,0.0646
Limarca,37.2,28.4,5,0,NaN
Limaria,66,23.03,18,9,0.0028
Limatula,66,28.4,12,2,0.002
Limea,59.2,23.03,10,3,0.0128
Limfjordia,56,47.8,2,2,0.5
Limnacis,47.8,41.3,2,2,0.002
Limnaea,37.2,33.9,48,0,NaN
Limnea,37.2,33.9,4,0,NaN
Limnenetes,37.2,33.9,5,0,NaN
Limnephilus,50.3,46.2,1,1,0.0093
Limnerium,37.2,33.9,5,5,0.0035
Limnius,28.4,23.03,1,1,0.1
Limnobia,59.2,23.03,5,5,0.01
Limnobium,37.2,33.9,1,0,NaN
Limnocarpus,56,33.9,10,0,NaN
Limnocema,37.2,33.9,6,6,0.0014
Limnochares,28.4,23.03,1,1,0.0175
Limnocyon,50.3,40.4,15,2,0.0861
Limnocythere,58.7,55.8,1,0,NaN
Limnofregata,55.8,50.3,2,0,NaN
Limnophila,61.7,23.03,19,19,0.0023
Limnophilus,37.2,33.9,1,1,0.0007
Limnophyes,47.8,41.3,1,1,0.0963
Limnoporus,51.77,51.77,2,2,1
Limnopsyche,37.2,33.9,1,1,0.0011
Limnoxenus,28.1,23.03,1,1,0.1111
Limonia,47.8,41.3,2,2,0.0224
Limonius,56,23.03,12,12,0.0051
Limopsis,66,23.03,130,61,0.0138
Limulomyia,47.8,41.3,1,1,0.6667
Lina,48.6,23.03,2,2,0.0154
Lindapecten,28.1,23.03,1,1,1
Lindera,66,,18,1,0.0014
Linderina,56,47.8,1,0,NaN
Lindsaea,48.6,40.4,1,0,NaN
Linga,48.6,23.03,58,48,0.0211
Lingula,55.8,36,5,1,0.0029
Lingulodinium,41.3,23.03,6,3,0.0029
Linnaea,37.2,33.9,6,6,0.0006
Linnania,66,58.7,3,0,NaN
Linoptes,47.8,41.3,1,1,0.0016
Linthia,66,38,53,5,0.0621
Lintltia,59.2,56,1,0,NaN
Linuparus,66,47.8,3,0,NaN
Linyphia,50.3,28.1,8,8,0.0089
Liocyma,33.9,28.1,4,0,NaN
Liogryllus,28.4,23.03,1,0,NaN
Liomesus,47.8,23.03,2,1,0.0009
Liometopum,47.8,34,16,16,0.0215
Lioplacodes,66,56.8,21,0,NaN
Lioplacoides,66,63.3,2,0,NaN
Lioponera,33.9,28.4,1,1,0.0018
Liostrea,66,38,6,0,NaN
Liothyrella,59.2,25.2,57,7,0.2125
Liothyrina,41.3,23.03,6,0,NaN
Liotia,58.7,28.4,9,2,0.0045
Liotina,48.6,23.03,5,0,NaN
Liotomus,59.2,56,1,0,NaN
Liotrichothrips,47.8,41.3,4,4,0.0002
Liotrigonopsis,47.8,41.3,1,1,0.0105
Liposcelis,47.8,41.3,1,1,0.0047
Lipotactes,47.8,41.3,3,3,0.0066
Lipsanothrips,47.8,41.3,1,1,0.0084
Lipsothrix,47.8,41.3,1,1,0.012
Liptodendron,56,33.9,1,0,NaN
Lipura,47.8,41.3,1,0,NaN
Liquidambar,59.2,23.03,30,7,0.0346
Liratatilia,37.2,33.9,1,0,NaN
Liratomina,28.4,23.03,1,0,NaN
Liriodendron,33.9,23.03,14,0,NaN
Liroa,48.6,37.2,1,0,NaN
Lirodiscus,61.6,33.9,63,41,0.0057
Lirofusus,66,38,21,11,0.0044
Lirophora,37.2,28.1,17,15,0.0099
Lirosoma,41.3,38,1,0,NaN
Lisbonia,47.8,38,2,1,0.0111
Lischkeia,48.6,37.2,1,0,NaN
Lishkeia,41.3,38,1,0,NaN
Lissarca,37.2,33.9,1,0,NaN
Lisserpeton,66,56.8,4,0,NaN
Lissomus,66,56,1,1,0.0556
Lissonota,47.8,41.3,1,1,0.0011
Lissotesta,55.8,53,1,0,NaN
Lissotestella,37.2,33.9,1,0,NaN
Listrochelus,37.2,33.9,1,1,0.0004
Listrognathosuchus,63.3,61.7,1,0,NaN
Listronotus,50.3,46.2,1,1,0.0139
Litaletes,66,56.8,14,0,NaN
Lithadothrips,50.3,23.03,2,1,0.0833
Lithagrion,37.2,23.03,4,4,0.0072
Lithandrena,37.2,33.9,1,0,NaN
Lithanthidium,37.2,33.9,1,1,0.0037
Lithapechtis,34,34,2,2,0.0063
Lithapium,37.2,33.9,1,0,NaN
Lithatractus,66,61.6,25,23,0.014
Lithax,47.8,41.3,2,2,0.0021
Lithecphora,37.2,33.9,4,4,0.0028
Lithelius,66,59.2,77,67,0.0277
Lithembia,37.2,33.9,2,2,0.01
Litheuphaea,47.8,28.1,3,3,0.6934
Lithexorista,50.3,46.2,1,1,0.0208
Lithobelyta,34,34,1,1,0.0062
Lithobius,47.8,41.3,9,0,NaN
Lithocampe,66,59.2,33,24,0.0096
Lithocardium,33.9,23.03,1,0,NaN
Lithocarpus,,28.1,2,1,0.0763
Lithocharis,37.2,23.03,2,2,0.0131
Lithochromus,37.2,33.9,4,4,0.0007
Lithochytris,56,41.3,7,0,NaN
Lithocicada,37.2,33.9,1,1,0.0135
Lithocoris,37.2,33.9,1,1,0.0004
Lithocoryne,34,34,3,3,0.0022
Lithocyclia,56,33.9,4,0,NaN
Lithodryas,37.2,33.9,1,1,0.0004
Lithogryllites,37.2,33.9,1,1,0.0037
Litholabis,37.2,33.9,1,1,0.0011
Lithomacratria,37.2,33.9,1,1,0.0004
Lithomelissa,66,61.6,53,37,0.008
Lithomespilus,66,59.2,48,47,0.0545
Lithomyza,50.3,46.2,1,1,0.0323
Lithophaga,61.6,23.03,42,12,0.0147
Lithophotina,37.2,33.9,1,0,NaN
Lithophthorus,37.2,33.9,1,1,0.0004
Lithophyllia,41.3,23.03,5,0,NaN
Lithophyllon,37.2,33.9,2,1,0.0203
Lithophyllum,66,23.03,85,0,NaN
Lithophysa,50.3,46.2,1,1,0.0139
Lithophysema,55.8,33.9,10,5,0.0223
Lithopissodes,28.1,23.03,1,1,0.5
Lithoplanes,28.1,23.03,2,2,0.0052
Lithoporella,59.2,23.03,50,0,NaN
Lithopsis,59.2,46.2,11,11,0.0169
Lithopsyche,34,34,1,1,0.0062
Lithoptila,59.2,56,1,0,NaN
Lithoradia,66,61.6,1,0,NaN
Lithornis,61.7,48.6,6,0,NaN
Lithortalis,33.9,23.03,1,1,0.037
Lithoserix,37.2,33.9,1,1,1
Lithosmylus,37.2,33.9,2,1,1
Lithospermites,33.9,28.4,1,0,NaN
Lithostrobus,66,61.6,23,19,0.0115
Lithothamnion,66,23.03,128,0,NaN
Lithothamnium,66,41.3,9,0,NaN
Lithotiphia,37.2,33.9,1,0,NaN
Lithotorus,50.3,46.2,1,1,0.0139
Lithymnetes,37.2,33.9,1,1,0.0004
Lithymnetoides,37.2,33.9,1,1,0.0056
Litiopa,66,38,17,13,0.0261
Litobrancha,33.9,28.1,1,1,0.0256
Litobrochus,37.2,33.9,1,1,0.0004
Litocherus,63.3,56.8,30,2,0.08
Litodonomys,28.4,23.03,1,0,NaN
Litokoala,28.4,23.03,1,0,NaN
Litolagus,33.9,33.3,2,0,NaN
Litolestes,61.7,56.8,11,0,NaN
Litomylus,66,56.8,30,3,0.2877
Litopia,47.8,41.3,1,0,NaN
Litorhadia,61.6,23.03,129,49,0.0073
Litoripes,47.8,41.3,1,1,1
Litoyoderimys,40.4,33.9,4,0,NaN
Litsea,56,23.03,12,0,NaN
Litseaphyllum,33.9,28.4,1,0,NaN
Littoridina,56,33.9,1,0,NaN
Littorina,66,23.03,11,6,0.0007
Littorinopsis,61.6,59.2,1,0,NaN
Littorniscala,55.8,48.6,2,0,NaN
Lituola,66,61.6,1,0,NaN
Lituonella,48.6,33.9,7,0,NaN
Litus,47.8,41.3,1,1,0.0001
Livistona,56,47.8,1,0,NaN
Livonia,28.4,23.03,1,0,NaN
Lixus,59.2,56,1,1,0.0086
Llankibatrachus,48.6,28.4,2,0,NaN
Llanocetus,34.3,33.9,3,2,1
Lobantale,47.8,41.3,1,0,NaN
Lobateuchus,55.8,48.6,1,1,1
Lobaticarpum,56,47.8,2,0,NaN
Lobipetrolisthes,56,23.03,1,0,NaN
Lobocarcinus,47.8,33.9,4,1,0.0043
Lobogalenopsis,56,33.9,2,0,NaN
Lobonotus,66,38,8,1,0.0294
Lobopsammia,41.3,37.2,4,3,0.1218
Lobospammia,33.9,28.1,1,0,NaN
Lochmocola,55.8,48.6,1,1,0.0119
Lockhartia,66,41.3,18,0,NaN
Locrites,37.2,33.9,3,3,0.001
Locusta,28.1,23.03,1,1,0.0094
Locustopsites,37.2,33.9,1,1,0.0056
Loewiella,47.8,41.3,9,9,0.0002
Lofochaius,66,58.7,1,0,NaN
Lomatia,52.22,28.4,14,13,0.0274
Lomatites,37.2,33.9,1,0,NaN
Lonchaea,33.9,23.03,1,1,0.037
Longapertites,58.7,37.2,26,26,0.0129
Longchaeus,41.3,38,1,0,NaN
Longicapitia,55.8,48.6,1,1,0.0054
Longicopula,55.8,48.6,1,1,0.0108
Longicornia,55.8,48.6,1,1,0.0054
Longiformica,55.8,48.6,2,2,0.0054
Longigastrula,55.8,48.6,1,1,0.0054
Longilabia,55.8,48.6,1,1,0.0054
Longimactra,41.3,38,1,0,NaN
Longipedia,55.8,48.6,1,1,0.0054
Longitubus,59.2,56,1,0,NaN
Longoporcellana,56,23.03,2,0,NaN
Longusorbis,48.6,37.2,1,0,NaN
Loparia,66,61.6,1,0,NaN
Lopha,66,23.03,56,23,0.0218
Lophelia,66,38,3,2,0.0007
Lophialetes,48.6,33.9,5,0,NaN
Lophiaspis,55.8,38,9,0,NaN
Lophidiaster,66,47.8,3,0,NaN
Lophiobunodon,41.3,38,2,1,0.0079
Lophiodolodus,33.9,28.4,1,0,NaN
Lophiodon,51,33.9,73,1,1
Lophiomeryx,37.2,23.03,5,0,NaN
Lophiotherium,55.8,33.9,7,1,0.25
Lophiotoma,48.6,37.2,1,0,NaN
Lophiparamys,55.8,40.4,9,0,NaN
Lophius,33.9,28.1,1,0,NaN
Lophocateres,47.8,41.3,1,0,NaN
Lophocyrtis,56,41.3,5,0,NaN
Lophocysta,41.3,38,1,0,NaN
Lophomastix,56,23.03,4,0,NaN
Lophopanopeus,48.6,37.2,1,0,NaN
Lophoranina,55.8,28.4,11,1,0.0063
Lophosmilia,48.6,37.2,3,0,NaN
Lophyrophorus,47.8,41.3,1,1,0.0002
Lordithon,34,34,7,5,0.0012
Loricera,47.8,41.3,1,1,0.0031
Loricula,47.8,41.3,12,12,0.0088
Loripes,66,61.6,7,4,0.0012
Lornia,37.2,36,1,0,NaN
Lorosuchus,61.7,55.8,1,0,NaN
Lorpinus,41.3,38,1,0,NaN
Louisina,59.2,56,7,0,NaN
Loveina,55.8,50.3,18,0,NaN
Lovenia,28.1,27.3,2,0,NaN
Loxacypraea,28.4,23.03,2,0,NaN
Loxocardium,66,28.4,36,22,0.0087
Loxocauda,33.9,23.03,1,1,0.0141
Loxoconcha,66,23.03,42,2,0.0049
Loxolophus,66,61.7,39,12,0.1382
Loxostoma,48.6,37.2,2,0,NaN
Loxostomoides,66,61.7,1,0,NaN
Loxostomum,33.9,23.03,1,0,NaN
Loxotrema,48.6,33.9,2,0,NaN
Lucanus,37.2,33.9,1,1,0.0053
Lucina,66,28.1,210,95,0.0088
Lucinella,28.1,23.03,1,0,NaN
Lucinisca,66,28.1,28,14,0.0045
Lucinoma,66,23.03,63,8,0.0216
Luciola,28.4,23.03,1,1,0.0035
Ludiophanes,34,34,1,1,0.0057
Ludwigia,28.1,23.03,2,0,NaN
Lugeilangor,47.8,41.3,1,1,0.0013
Lukotekia,56,47.8,2,2,0.0022
Luminidites,48.6,37.2,2,2,0.0057
Lunania,37.2,33.9,2,0,NaN
Lunatia,66,23.03,70,48,0.0041
Lunaticarpa,48.6,37.2,1,1,0.0095
Lunilites,37.2,33.9,1,0,NaN
Lunnulites,66,56,1,0,NaN
Lunularia,66,28.1,17,2,0.0051
Lunulites,48.6,23.03,53,17,0.0146
Luperodes,34,34,1,1,0.0057
Luperus,28.4,23.03,1,1,0.0278
Lusatisporites,56,33.9,2,2,0.0053
Lushiamynodon,37.2,33.9,2,0,NaN
Lushilagus,48.6,33.9,2,0,NaN
Lushius,37.2,33.9,1,0,NaN
Lutago,56,47.8,2,2,0.1108
Lutetiabates,48.6,40.4,3,3,0.1229
Lutetiacader,48.6,40.4,1,1,1
Lutetodontopteryx,47.8,41.3,1,1,0.4815
Lutraria,37.2,23.03,6,0,NaN
Lutrochites,37.2,33.9,1,1,0.0037
Lutzia,48.6,40.4,1,0,NaN
Luxurionephila,47.8,41.3,1,1,0.0667
Lychnocanium,59.2,41.3,7,0,NaN
Lychnocanoma,56,33.9,9,0,NaN
Lychnopsis,41.3,38,1,0,NaN
Lycophocyon,46.2,37.2,6,0,NaN
Lycopodium,37.2,23.03,5,0,NaN
Lycopodiumsporites,56,33.9,35,24,0.0061
Lycopus,28.1,23.03,2,0,NaN
Lycoriella,47.8,41.3,4,4,0.0011
Lycorma,48.6,40.4,1,1,0.0179
Lycosa,37.2,33.9,1,1,0.013
Lycosporites,66,61.7,1,0,NaN
Lyctocoris,50.3,46.2,1,1,0.0049
Lyctoferus,47.8,41.3,9,9,0.0071
Lydiphnis,55.8,33.9,2,0,NaN
Lygaeites,34,23.03,2,2,0.0091
Lygaeosoma,28.4,23.03,1,1,0.0009
Lygaeus,37.2,23.03,9,9,0.0102
Lygodium,59.2,23.03,69,19,0.0224
Lygurella,47.8,41.3,1,1,0.0064
Lygus,28.4,23.03,1,1,0.0009
Lymexylon,37.2,33.9,1,1,0.0037
Lymnaea,41.3,28.1,8,0,NaN
Lymopsis,28.4,23.03,1,1,0.015
Lyncuricallis,47.8,41.3,1,1,0.0006
Lyonsia,61.6,23.03,10,6,0.0003
Lype,47.8,41.3,23,23,0.012
Lyramula,66,56,1,0,NaN
Lyreidus,48.6,36,17,2,0.7071
Lyria,66,23.03,91,9,0.004
Lyrischapa,56,38,8,1,0.0041
Lyrodiscus,56,47.8,5,5,0.0112
Lyrolepis,38,33.9,1,0,NaN
Lyroneurus,47.8,41.3,1,1,0.0001
Lyropecten,33.9,23.03,31,4,0.031
Lyrosurcula,59.2,38,27,17,0.0027
Lyrotyphis,33.9,23.03,8,2,0.0031
Lysimachia,33.9,23.03,2,0,NaN
Lysis,41.3,38,1,0,NaN
Lyssochlamys,66,61.6,1,1,0.0041
Lystra,50.3,46.2,5,5,0.0333
Lytechinus,28.4,23.03,1,1,0.0588
Lytoloma,47.8,41.3,4,0,NaN
Lytopsenella,47.8,41.3,12,12,0.0029
MISTAKE,55.8,50.3,8,7,0.0311
Maackia,56,33.9,4,0,NaN
Macabeemyrma,51,51,1,1,0.025
Macandrevia,56,47.8,2,0,NaN
Macandrewia,66,53,1,0,NaN
Macanopsis,56,33.9,1,0,NaN
Macaranga,52.22,33.9,13,13,0.0125
Macaria,47.8,41.3,1,1,0.0032
Macclintockia,38,33.9,2,2,0.0184
Maceopolipollenites,66,56,27,0,NaN
Macginicarpa,61.7,37.2,2,1,0.0165
Macginitea,38,33.9,2,2,0.0116
Macginitiea,58.7,46.2,11,0,NaN
Machaeroides,55.8,46.2,4,0,NaN
Machaerosaurus,66,46.2,10,0,NaN
Machichnus,66,61.6,1,0,NaN
Machilis,47.8,41.3,30,5,0.0032
Machilla,47.8,41.3,1,1,0.0023
Machilus,56,,4,0,NaN
Machimus,28.1,23.03,1,1,0.0833
Macoma,59.2,23.03,105,8,0.0032
Macomona,41.3,38,4,0,NaN
Macquaria,47.8,41.3,1,0,NaN
Macrarene,66,56,1,0,NaN
Macratria,47.8,33.9,8,8,0.0156
Macroadapis,48.6,40.4,1,1,0.0754
Macrocallista,61.6,23.03,143,35,0.0378
Macrocera,47.8,23.03,4,4,0.0003
Macrocerus,47.8,41.3,1,1,0.0042
Macrochile,47.8,41.3,11,11,0.0103
Macrochlamis,28.4,23.03,1,0,NaN
Macrocranion,55.8,37.2,43,4,0.083
Macrocyprina,28.1,23.03,1,0,NaN
Macrocypris,28.4,23.03,6,0,NaN
Macrodactylus,37.2,33.9,3,3,0.0081
Macrodelphinus,28.1,23.03,2,2,0.125
Macrodontopteryx,56,41.3,3,0,NaN
Macromphalus,47.8,41.3,2,0,NaN
Macropelobates,33.9,28.4,1,0,NaN
Macropelopia,47.8,41.3,1,1,0.0031
Macrophya,37.2,33.9,1,1,0.0004
Macropipus,56,33.9,2,0,NaN
Macropneustes,41.3,33.9,7,3,0.1001
Macropora,66,56,1,0,NaN
Macropsis,28.4,23.03,1,1,0.0009
Macropthalmus,28.4,23.03,1,0,NaN
Macropunctum,48.6,40.4,38,38,0.1881
Macropus,66,23.03,3,0,NaN
Macrorhineura,30.8,26.3,1,0,NaN
Macrorhizodus,47.8,37.2,5,2,0.1421
Macrorhoptus,37.2,33.9,1,1,0.0018
Macroscapha,37.2,33.9,1,1,0.0002
Macrosiagon,56,47.8,1,1,0.0044
Macrosolen,47.8,28.4,17,4,0.0007
Macrotarsius,46.2,37.2,14,3,0.0129
Macroteleia,47.8,41.3,1,1,0.1429
Macrourus,28.1,23.03,1,0,NaN
Mactra,61.6,23.03,44,9,0.0056
Mactrellona,48.6,23.03,4,2,0.3103
Mactromeris,66,23.03,88,0,NaN
Mactropsis,55.8,38,7,2,0.0011
Maculigastrula,55.8,48.6,1,1,0.0054
Maculitendipes,55.8,48.6,1,1,0.0108
Madasumma,47.8,41.3,1,1,0.0385
Maddocksella,37.2,33.9,1,1,0.0081
Madracis,58.7,28.1,32,7,0.0076
Madrepora,66,25.2,30,5,0.1869
Madtsoia,66,33.9,3,3,0.6761
Maedleriella,56,41.3,4,0,NaN
Maesa,56,33.9,1,0,NaN
Magadina,27.3,25.2,1,1,0.0172
Magadinella,37.2,28.1,14,3,0.1121
Magdalis,37.2,23.03,5,5,0.0057
Magella,56,47.8,4,2,0.4104
Magellania,55.8,23.03,16,2,0.3244
Magnatica,66,23.03,19,1,0.1667
Magnogasterites,55.8,48.6,1,1,0.0324
Magnolia,63.3,23.03,91,7,0.0157
Mahengecharax,47.8,41.3,1,0,NaN
Mahengechromis,47.8,41.3,1,0,NaN
Mahgarita,40.4,37.2,2,1,0.4286
Mahonia,37.2,28.1,16,6,0.0046
Maiacetus,47.8,41.3,1,1,0.4
Maias,66,23.03,9,0,NaN
Mains,66,23.03,1,0,NaN
Maiorana,66,63.3,2,1,0.3333
Maizania,28.1,23.03,1,0,NaN
Makaracetus,47.8,41.3,1,1,0.2
Makiyamaia,47.8,28.4,2,0,NaN
Makridinophyllia,38,33.9,1,1,0.0116
Malachius,34,34,1,1,0.0057
Maladera,28.4,23.03,1,1,0.0009
Malapoenna,48.6,37.2,1,0,NaN
Malaquiferus,46.2,33.9,6,0,NaN
Maldivia,33.9,28.4,1,0,NaN
Maleojassus,58,58,1,1,0.1111
Malfattia,47.8,41.3,1,1,0.0001
Malfelis,50.3,46.2,1,0,NaN
Malletia,66,28.1,29,1,0.1176
Mallochohelea,47.8,41.3,1,1,0.0208
Mallotus,48.6,37.2,9,4,0.0647
Malthinus,47.8,41.3,1,1,0.0042
Malthodes,47.8,28.4,7,7,0.0025
Malus,37.2,28.4,3,0,NaN
Malvacarpus,33.9,28.4,1,0,NaN
Malvacipollis,48.6,37.2,2,0,NaN
Malvoideae,61.7,55.8,4,4,0.2338
Mammacyon,30.8,24.8,3,2,0.5774
Mammalodon,28.1,23.03,4,1,1
Mammilla,48.6,28.4,2,0,NaN
Manapsis,37.2,33.9,1,1,0.0004
Manatherium,33.9,23.03,1,0,NaN
Mancora,33.9,28.4,1,0,NaN
Mancorus,37.2,23.03,7,1,0.0833
Mancosinodia,28.4,23.03,1,0,NaN
Manevalia,59.2,56,1,1,0.0172
Mangelia,33.9,28.1,3,0,NaN
Mangifera,56,33.9,2,0,NaN
Manglietia,28.1,23.03,5,0,NaN
Manicina,66,41.3,3,1,0.0213
Maniconeurodes,47.8,41.3,2,2,0.0019
Manitsha,33.9,33.3,1,0,NaN
Manobiomorpha,47.8,41.3,1,1,0.0011
Manota,28.4,23.03,1,1,0.0009
Mansonia,34,23.03,3,3,0.0013
Manta,28.1,23.03,1,0,NaN
Mantohelea,47.8,41.3,7,7,0.0015
Mantoida,47.8,41.3,1,1,0.0833
Manu,27.3,25.2,1,1,0.0769
Manupecten,33.9,28.1,2,0,NaN
Maoricolpus,28.4,23.03,11,4,0.0355
Maoricrypta,41.3,23.03,12,6,0.03
Maorigadus,61.6,56,1,0,NaN
Marada,28.4,23.03,1,0,NaN
Marama,41.3,23.03,13,1,0.0353
Marambionella,56,47.8,1,0,NaN
Marambiornis,56,33.9,3,2,0.063
Marcgodinotius,56,47.8,3,2,0.0208
Marchantia,66,63.3,8,3,0.109
Marcia,47.8,38,3,0,NaN
Maretia,47.8,23.03,15,0,NaN
Marfilomys,50.3,40.4,1,0,NaN
Margarella,55.8,53,3,0,NaN
Margaretta,41.3,23.03,20,0,NaN
Margarites,61.6,28.4,16,0,NaN
Marginella,61.6,23.03,94,31,0.0036
Margineulima,37.2,28.4,2,0,NaN
Marginotruncana,48.6,37.2,1,0,NaN
Marginulina,66,28.1,11,2,0.0112
Marginulinopsis,38,33.9,1,0,NaN
Margocolporites,55.8,37.2,45,40,0.0077
Marilia,47.8,41.3,5,5,0.0031
Marjorietta,47.8,34,6,6,0.0041
Marmosopsis,58.7,57,2,0,NaN
Maroccosuchus,56,47.8,3,1,0.2
Marquettia,37.2,28.1,3,2,0.1313
Marshallaria,66,23.03,25,10,0.0302
Marshallena,41.3,23.03,7,0,NaN
Marsholestes,50.3,46.2,3,0,NaN
Marsilea,37.2,23.03,2,0,NaN
Marsoniella,66,61.6,1,0,NaN
Martesia,66,23.03,19,3,0.0009
Martinietta,33.9,28.1,1,0,NaN
Martinmuellera,48.6,37.2,1,0,NaN
Martinotiella,33.9,23.03,1,0,NaN
Martinottiella,28.4,23.03,4,0,NaN
Martynea,47.8,41.3,1,1,0.025
Marwickcythereis,37.2,33.9,1,1,0.0055
Marwickia,66,56,28,16,0.1767
Masillapodargus,48.6,40.4,1,1,0.5
Masillastega,48.6,40.4,1,0,NaN
Masracetus,38,33.9,5,3,1
Masrasector,31,31,2,0,NaN
Massamorichthys,61.7,56,1,0,NaN
Massilina,37.2,23.03,3,0,NaN
Massillina,55.8,37.2,1,0,NaN
Massula,47.8,41.3,1,1,0.0082
Masteutes,37.2,33.9,3,3,0.0008
Mastigophora,38,28.1,2,0,NaN
Mastigusa,47.8,41.3,11,11,0.0033
Mastixia,48.6,23.03,22,1,0.0014
Mastixicarpum,48.6,23.03,32,1,0.0005
Mastixioideae,38,33.9,1,0,NaN
Mastixioidiocarpum,48.6,37.2,1,1,0.0092
Mastixiopsis,48.6,37.2,1,0,NaN
Mastotermes,48.6,23.03,9,9,0.0372
Mataeoschistus,37.2,33.9,1,1,0.0087
Matanomictis,28.1,23.03,1,0,NaN
Matayba,33.9,28.4,1,0,NaN
Matejkia,48.6,37.2,2,2,0.0636
Mathilda,66,23.03,58,31,0.001
Mathildia,37.2,33.9,1,0,NaN
Matsucoccus,47.8,41.3,13,12,0.0028
Matthesia,47.8,41.3,2,0,NaN
Matthewlabis,33.3,30.8,2,0,NaN
Mattimys,55.8,46.2,8,0,NaN
Matudaea,33.9,28.1,3,0,NaN
Matutites,41.3,38,1,0,NaN
Maudrillia,33.9,28.4,1,0,NaN
Mauia,41.3,38,6,0,NaN
Mauicetus,27.3,25.2,11,4,0.2774
Mauidrillia,59.2,28.1,4,0,NaN
Mauira,41.3,38,6,0,NaN
Maurea,61.6,56,1,0,NaN
Mauricia,41.3,38,2,0,NaN
Mauritiidites,58.7,37.2,46,45,0.0632
Mayena,41.3,28.4,2,0,NaN
Mayulestes,66,61.7,1,0,NaN
Mazateronodon,48.6,33.9,1,0,NaN
Mazzalina,61.7,33.9,20,6,0.0011
Mcconichthys,66,56,1,0,NaN
Meandrina,66,23.03,18,1,0.0061
Mecistoneuron,37.2,33.9,1,1,0.0135
Mecocephala,37.2,33.9,1,1,0.0004
Mecynoecia,33.9,28.1,15,0,NaN
Medela,47.8,41.3,1,1,0.0041
Medeterus,47.8,41.3,6,6,0.001
Mediaster,56,47.8,1,0,NaN
Mediolata,47.8,41.3,1,1,0.0011
Meditrina,47.8,41.3,1,1,0.0041
Medoriopsis,66,61.6,1,1,0.0022
Megabalanus,48.6,23.03,2,0,NaN
Megacardita,55.8,28.1,15,4,0.0662
Megacentron,56,47.8,1,1,0.0044
Megacerops,37.2,33.9,11,1,0.0318
Megachile,37.2,33.9,2,2,0.0203
Megachoerus,37.2,24.8,2,0,NaN
Megacyllene,37.2,33.9,1,1,0.0004
Megadelphus,55.8,46.2,7,0,NaN
Megadontosuchus,48.6,37.2,1,0,NaN
Megalagus,37.2,26.3,47,12,0.0523
Megalampris,33.9,23.03,1,0,NaN
Megalamynodon,46.2,40.4,1,0,NaN
Megaleptictis,33.9,33.3,2,0,NaN
Megalestes,34,34,1,1,0.0027
Megalesthonyx,55.8,46.2,8,1,0.0714
Megaleuctra,47.8,41.3,1,1,0.5
Megalocypraea,66,33.9,5,0,NaN
Megalohyrax,55.8,23.03,9,1,0.3333
